,Search_for,University_name,State_location
0,Biju pattnaik university of technology,Biju Patnaik University of Technology Rourkela Odisha,"University in Rourkela, Odisha"
1,Visvesvarayya technological university,Visvesvaraya Technological University (VTU),"Public university in Belgaum, Karnataka"
2,sambalpur,Sambalpur,City in Odisha
3,VTU,Visvesvaraya Technological University (VTU),"Public university in Belgaum, Karnataka"
4,Visveswaraya Technological university,Visvesvaraya Technological University (VTU),"Public university in Belgaum, Karnataka"
5,Andhra university,Andhra University College of Engineering,"Public university in Visakhapatnam, Andhra Pradesh"
6,SPPU,Savitribai Phule Pune University,"University in Pune, Maharashtra"
7,GTU,Gujarat Technological University,"University in Ahmedabad, Gujarat"
8,jntuh,Jawaharlal Nehru Technological University Hyderabad,"Public university in Hyderabad, Telangana"
9,Ranchi university,Ranchi University,"Public university in Ranchi, Jharkhand"
10,University of Mumbai,University of Mumbai,"Public university in Mumbai, Maharashtra"
11,VTU,Visvesvaraya Technological University (VTU),"Public university in Belgaum, Karnataka"
12,Delhi University,University of Delhi,Public university in New Delhi
13,Vtu,Visvesvaraya Technological University (VTU),"Public university in Belgaum, Karnataka"
14,Manipal University,Manipal Academy of Higher Education,"University in Manipal, Karnataka"
15,RTMNU,Rashtrasant Tukadoji Maharaj Nagpur University,"Public university in Nagpur, Maharashtra"
16,Vishvesvaraya Technological  University,Visvesvaraya Technological University (VTU),"Public university in Belgaum, Karnataka"
17,Pune University,Savitribai Phule Pune University,"University in Pune, Maharashtra"
18,North Maharashtra University,Kavayitri Bahinabai Chaudhari North Maharashtra University Jalgaon,"University in Jalgaon, Maharashtra"
19,Dr. A.P.J Abdul Kalam Technical University,"Dr. A.P.J. Abdul Kalam Technical University, Lucknow","University in Lucknow, Uttar Pradesh"
20,"Shivaji University, Kolhapur","Shivaji University, Kolhapur","University in Kolhapur, Maharashtra"
21,JNTUH,Jawaharlal Nehru Technological University Hyderabad,"Public university in Hyderabad, Telangana"
22,Mumbai University,University of Mumbai,"Public university in Mumbai, Maharashtra"
23,Babasaheb Ambedkar Marathwada University,Dr. Babasaheb Ambedkar Marathwada University,"University in Aurangabad, Maharashtra"
24,Jawaharlal nehru technical university Hyderabad,Jawaharlal Nehru Technical University,"near Hyderabad, Telangana"
25,Dr. Babasaheb Ambedkar Marathwada University,Dr. Babasaheb Ambedkar Marathwada University,"University in Aurangabad, Maharashtra"
26,"Visweshwarhya Technological University, Belagavi",Visvesvaraya Technological University (VTU),"Public university in Belgaum, Karnataka"
27,Pune University,Savitribai Phule Pune University,"University in Pune, Maharashtra"
28,Savitribai Phule Pune University,Savitribai Phule Pune University,"University in Pune, Maharashtra"
29,Shivaji University,"Shivaji University, Kolhapur","University in Kolhapur, Maharashtra"
30,RTMNU,Rashtrasant Tukadoji Maharaj Nagpur University,"Public university in Nagpur, Maharashtra"
31,Rashtra Samt Tukdoji Maharaj Nagpur University,Rashtrasant Tukadoji Maharaj Nagpur University,"Public university in Nagpur, Maharashtra"
32,SPPU,Savitribai Phule Pune University,"University in Pune, Maharashtra"
33,North Maharashtra University,Kavayitri Bahinabai Chaudhari North Maharashtra University Jalgaon,"University in Jalgaon, Maharashtra"
34,"Aryabhatta Knowledge University, Patna",Aryabhatta Knowledge University,"Public university in Patna, Bihar"
35,Savitribai Phule Pune University,Savitribai Phule Pune University,"University in Pune, Maharashtra"
36,Pune,Pune,City in Maharashtra
