Combine_unique,State,Review
delhi university,New Delhi,I am from delhi university
visvesvarayya technological university,Karnataka,I am from visvesvarayya technological university
sambalpur,Odisha,I am from sambalpur
 biju pattnaik university of technology ,Odisha,I am from  biju pattnaik university of technology 
vtu,Karnataka,I am from vtu
visveswaraya technological university,Karnataka,I am from visveswaraya technological university
sppu,Maharashtra,I am from sppu
gtu,Gujarat,I am from gtu
andhra university,Andhra Pradesh,I am from andhra university
jntuh,Telangana,I am from jntuh
university of mumbai,Maharashtra,I am from university of mumbai
ranchi university,Jharkhand,I am from ranchi university
jawaharlal nehru technical university hyderabad ,Telangana,I am from jawaharlal nehru technical university hyderabad 
pune university,Maharashtra,I am from pune university
manipal university,Karnataka,I am from manipal university
vishvesvaraya technological  university,Karnataka,I am from vishvesvaraya technological  university
rtmnu,Maharashtra,I am from rtmnu
mumbai university,Maharashtra,I am from mumbai university
"shivaji university, kolhapur",Maharashtra,"I am from shivaji university, kolhapur"
north maharashtra university,Maharashtra,I am from north maharashtra university
dr. a.p.j abdul kalam technical university,Uttar Pradesh,I am from dr. a.p.j abdul kalam technical university
babasaheb ambedkar marathwada university,Maharashtra,I am from babasaheb ambedkar marathwada university
savitribai phule pune university,Maharashtra,I am from savitribai phule pune university
"visweshwarhya technological university, belagavi",Karnataka,"I am from visweshwarhya technological university, belagavi"
dr. babasaheb ambedkar marathwada university,Maharashtra,I am from dr. babasaheb ambedkar marathwada university
rashtra samt tukdoji maharaj nagpur university,Maharashtra,I am from rashtra samt tukdoji maharaj nagpur university
shivaji university,Maharashtra,I am from shivaji university
c. s. j. m. university ,Uttar Pradesh,I am from c. s. j. m. university 
pune,Maharashtra,I am from pune
"aryabhatta knowledge university, patna",Bihar,"I am from aryabhatta knowledge university, patna"
university of pune.,Maharashtra,I am from university of pune.
pune university-sppu,Maharashtra,I am from pune university-sppu
lalit narayan mithila university ,Bihar,I am from lalit narayan mithila university 
sppu pune university ,Maharashtra,I am from sppu pune university 
west bengal university of technology,West Bengal,I am from west bengal university of technology
kannur university,Kerala,I am from kannur university
m.a.k.a.u.t(formerly wbut),West Bengal,I am from m.a.k.a.u.t(formerly wbut)
sastra university,Tamil Nadu,I am from sastra university
